MSG	TID	OLD_DEBUG	OLD_RELEASE
"RaXnet Cacti graph_image.php远程命令执行攻击"	10072	d:10085	NONE
"Simple PHP Blog上传脚本文件执行代码变种攻击1"	10073	d:10086	r:10086
"Simple PHP Blog上传脚本文件执行代码变种攻击2"	10074	d:10087	NONE
"Simple PHP Blog上传脚本文件执行代码变种攻击3"	10075	d:10088	NONE
"Simple PHP Blog上传脚本文件执行代码攻击"	10076	d:10089	NONE
"TrackerCam PHP参数远程缓冲区溢出攻击"	10077	d:10090	NONE
"TrackerCam PHP参数远程缓冲区溢出变种攻击1"	10078	d:10091	NONE
"PAJAX pajax_call_dispatcher.php远程执行命令攻击"	10079	d:10092	NONE
"Symantec Sygate Management Server认证Applet远程SQL注入攻击"	10080	d:10093	NONE
"Business Objects Crystal Reports Web表单查看器目录遍历攻击"	10081	d:10094	r:10094
"P-News p-news.php远程文件包含攻击"	10082	d:10095	NONE
"Google搜索工具ProxyStyleSheet远程文件包含攻击"	10083	d:10097	NONE
"Wordpress 2.1.1远程命令执行后门攻击"	10084	d:10098	NONE
"Wordpress 2.1.1远程命令执行后门变种1攻击"	10085	d:10099	NONE
"WordPress cache_lastpostdate远程命令执行攻击"	10086	d:10100	NONE
"VBulletin misc.php远程代码注入攻击"	10087	d:10101	r:10101
"Web Finger程序执行操作"	10088	d:10102	NONE
"PHP-Survey Global.INC文件信息泄露攻击"	10089	d:10103	NONE
"Big Brother bb-hostsvc.sh脚本扫描攻击"	10090	d:10104	NONE
"Big Brother bb-hostsvc.sh脚本目录遍历攻击"	10091	d:10105	NONE
"BigIP bigconf.cgi脚本扫描攻击"	10092	d:10106	NONE
"CVSWeb cvsweb.cgi脚本扫描攻击"	10093	d:10107	NONE
"FormMail formmail.pl脚本扫描攻击"	10094	d:10108	NONE
"GuestBook guestbook.pl脚本扫描攻击"	10095	d:10109	NONE
"IRIX handler脚本扫描攻击"	10096	d:10110	NONE
"Miva htmlscript脚本远程目录遍历攻击"	10097	d:10111	NONE
"Miva htmlscript脚本扫描攻击"	10098	d:10112	NONE
"SysAdmin Magazine man.sh脚本扫描攻击"	10099	d:10113	NONE
"Arpanet perlshop.cgi脚本扫描攻击"	10100	d:10114	NONE
"NCSA phf脚本扫描攻击测"	10101	d:10115	NONE
"PHP/FI 脚本扫描攻击"	10102	d:10116	NONE
"QuikStore quikstore.cfg配置文件读取操作"	10103	d:10117	NONE
"Guestbook rguest.exe程序扫描攻击"	10104	d:10118	NONE
"Guestbook wguest.exe程序扫描攻击"	10105	d:10119	NONE
"SGI IRIX wrap脚本目录遍历攻击"	10106	d:10120	NONE
"Matt Tourtillott maillist.pl脚本远程执行命令攻击"	10107	d:10121	NONE
"Skunkware view-source脚本远程目录遍历攻击"	10108	d:10123	NONE
"Microsoft IIS 4.0 FrontPage98扩展察看CGI脚本源代码攻击"	10109	d:10124	NONE
"Microsoft IIS 4.0 showcode.asp脚本目录遍历攻击"	10110	d:10125	NONE
"Microsoft FrontPage扩展 users.pwd文件访问"	10111	d:10127	NONE
"Microsoft FrontPage扩展 service.pwd文件访问"	10112	d:10128	NONE
"Microsoft FrontPage扩展 authors.pwd文件访问"	10113	d:10129	NONE
"Microsoft FrontPage扩展 administrators.pwd文件访问"	10114	d:10130	NONE
"Microsoft IIS 4.0 /iisadmpwd/aexp2.htr文件访问"	10115	d:10131	NONE
"WebSPIRS webspirs.cgi脚本远程目录遍历攻击"	10116	d:10133	NONE
"Carey Internet Services commerce.cgi脚本远程目录遍历攻击"	10117	d:10134	NONE
"Verity's Search`97 search97.vts脚本远程目录遍历攻击"	10118	d:10135	r:10135
"ICat Managers carbo.dll脚本远程目录遍历攻击"	10119	d:10136	NONE
"Web site.csc文件获取数据信息攻击"	10120	d:10137	NONE
"Frontpage orders.txt获取服务器信息操作"	10121	d:10138	NONE
"Frontpage register.txt获取服务器信息操作"	10122	d:10139	NONE
"Frontpage registrations.htm获取服务器信息操作"	10123	d:10140	NONE
"Frontpage service.stp获取服务器信息操作"	10124	d:10141	NONE
"Frontpage registrations.txt获取服务器信息操作"	10125	d:10142	NONE
"Frontpage orders.htm获取服务器信息操作"	10126	d:10143	NONE
"Frontpage _vti_inf.html获取服务器信息操作"	10127	d:10144	NONE
"Pages Oracle 9iAS JSP源码泄露攻击"	10128	d:10145	NONE
"IPlanet Web服务程序目录遍历攻击"	10129	d:10146	NONE
"Webmin edit_action.cgi脚本扫描攻击"	10130	d:10147	NONE
"IRIX webdist.cgi脚本扫描攻击"	10131	d:10148	NONE
"CGIScript.NET CSMailto.cgi脚本扫描攻击"	10132	d:10149	NONE
"Web Global.asa文件获取敏感信息攻击"	10133	d:10150	r:10150
"Nortel Contivity cgiproc脚本文件调用攻击"	10134	d:10151	NONE
"Nortel Contivity cgiproc脚本扫描攻击"	10135	d:10152	NONE
"CGIScript.NET CSSearch.cgi脚本扫描攻击"	10136	d:10153	NONE
"CGIScript.NET CSSearch.cgi脚本目录遍历攻击"	10137	d:10154	NONE
"Main.cgi脚本扫描攻击"	10138	d:10155	NONE
"IRIX infosrch.cgi脚本扫描变种攻击1"	10139	d:10156	r:10156
"IRIX infosrch.cgi脚本扫描攻击"	10140	d:10157	r:10157
"IRIX windmail.exe程序扫描攻击"	10141	d:10158	NONE
"Web_store.cgi脚本目录遍历攻击"	10142	d:10159	NONE
"Cgiforum.pl脚本扫描攻击"	10143	d:10160	NONE
"Cgiforum.pl脚本目录遍历攻击"	10144	d:10161	NONE
"Tatantella TTAWebTop.CGI脚本目录遍历攻击"	10145	d:10162	NONE
"Tatantella TTAWebTop.CGI脚本扫描攻击"	10146	d:10163	NONE
"Store.cgi脚本扫描攻击"	10147	d:10165	NONE
"Store.cgi脚本目录遍历攻击"	10148	d:10166	NONE
"Ans.pl脚本远程目录遍历攻击"	10149	d:10167	NONE
"Agora.cgi脚本扫描攻击"	10150	d:10168	NONE
"Agora.cgi脚本扫描变种攻击1"	10151	d:10169	NONE
"SIX-webboard generate.cgi脚本远程目录遍历攻击"	10152	d:10170	NONE
"YaBB YaBB.pl本地文件包含攻击"	10153	d:10171	NONE
"IBM Net.Data document.d2w脚本扫描攻击"	10154	d:10172	NONE
"Alibaba tst.bat脚本扫描攻击"	10155	d:10173	NONE
"Cal_make.pl脚本扫描攻击"	10156	d:10174	NONE
"Cal_make.pl脚本扫描变种攻击1"	10157	d:10175	NONE
"Pagelog.cgi脚本目录遍历攻击"	10158	d:10176	NONE
"HyperSeek hsx.cgi脚本扫描攻击"	10159	d:10177	NONE
"HyperSeek hsx.cgi脚本扫描变种攻击1"	10160	d:10178	NONE
"Classifieds.cgi脚本扫描攻击"	10161	d:10179	NONE
"Novell GroupWise GWWEB.EXE程序扫描攻击"	10162	d:10180	NONE
"Novell GroupWise GWWEB.EXE程序扫描变种攻击1"	10163	d:10181	NONE
"Apexec.pl脚本扫描攻击"	10164	d:10182	r:10182
"Allaire ColdFusion 4.0x cfcache.map脚本扫描攻击"	10165	d:10183	NONE
"Apache source.asp脚本扫描攻击"	10166	d:10184	NONE
"NetWare Web Server 2.x convert.bas脚本扫描攻击"	10167	d:10185	NONE
"Talentsoft Web+获取内部IP地址攻击"	10168	d:10186	NONE
"Talentsoft Web+漏洞获取脚本源码攻击"	10169	d:10187	NONE
"SmartWin CyberOffice Shopping Cart 2.0数据库文件访问操作"	10170	d:10188	NONE
"Phorum violation.php3脚本扫描攻击"	10171	d:10189	NONE
"ION ion-p.exe脚本扫描攻击"	10172	d:10190	NONE
"Web Admin.php脚本本地文件遍历攻击"	10173	d:10191	r:10191
"Web Admin.php脚本访问操作"	10174	d:10192	r:10192
"Way-Board way-board.cgi脚本远程浏览文件攻击"	10175	d:10193	NONE
"Way-Board way-board.cgi脚本远程浏览文件变种攻击1"	10176	d:10194	NONE
"Htaccess文件访问操作"	10177	d:10195	NONE
"PhpSmsSend smssend.php脚本扫描攻击"	10178	d:10196	NONE
"OpenLinux rpm_query CGI获取系统RPM包安装信息攻击"	10179	d:10197	NONE
"CGI-World Poll CGI脚本获取系统文件攻击"	10180	d:10198	NONE
"Sojourn sojourn.cgi脚本读取文件攻击"	10181	d:10199	NONE
"Sojourn sojourn.cgi脚本扫描攻击"	10182	d:10200	NONE
"Big Brother bb-rep.sh脚本扫描攻击"	10183	d:10201	NONE
"Big Brother bb-replog.sh脚本扫描攻击"	10184	d:10202	NONE
"Web Shopper shopper.cgi脚本远程浏览文件攻击"	10185	d:10203	NONE
"Web Shopper shopper.cgi脚本扫描探测攻击"	10186	d:10204	NONE
"Htpasswd文件访问操作"	10187	d:10205	NONE
"SWSoft ASPSeek s.cgi程序扫描探测攻击"	10188	d:10206	NONE
"TroubleShooter Servlet获取服务器软件安装路径攻击"	10189	d:10207	NONE
"SnoopServlet Servlet获取服务器软件安装路径攻击"	10190	d:10208	NONE
"AlienForm2 alienform.cgi脚本目录遍历攻击"	10191	d:10209	NONE
"AlienForm2 alienform.cgi脚本目录遍历变种攻击1"	10192	d:10210	NONE
"AlienForm2 af.cgi脚本目录遍历变种攻击1"	10193	d:10211	NONE
"AlienForm2 af.cgi脚本目录遍历攻击"	10194	d:10212	NONE
"Allaire Forums GetFile.cfm远程读取文件攻击"	10195	d:10213	NONE
"Home Free search.cgi脚本目录遍历攻击"	10196	d:10214	NONE
"Home Free search.cgi脚本访问操作"	10197	d:10215	NONE
"Moreover.com cached_feed.cgi脚本目录遍历攻击"	10198	d:10216	NONE
"Moreover.com cached_feed.cgi脚本漏洞扫描探测"	10199	d:10217	NONE
"EditTag edittag.cgi脚本远程读取任意文件攻击"	10200	d:10218	NONE
"BLNews objects.inc.php4脚本扫描探测攻击"	10201	d:10219	NONE
"Microsoft IIS ISM.DLL文件名截断获取文件内容攻击"	10202	d:10220	NONE
"Microsoft IIS bdir.htr脚本浏览目录攻击"	10203	d:10221	r:10221
"HP Web Jetadmin CGI脚本文件信息泄露攻击"	10204	d:10222	NONE
"EZshopper loadpage.cgi脚本目录遍历攻击"	10205	d:10223	NONE
"Alibaba alibaba.pl脚本漏洞扫描攻击"	10206	d:10224	NONE
"Alibaba alibaba.pl脚本漏洞扫描变种攻击1"	10207	d:10225	NONE
"Big Brother bb-hist.sh脚本目录遍历攻击"	10208	d:10226	NONE
"MRTG CGI远程读取任意文件攻击"	10209	d:10227	NONE
"Web应用脚本cmd.exe访问操作"	10210	d:10229	r:10229
"Microsoft PWS目录遍历攻击"	10211	d:10230	NONE
"PowerPlay ppdscgi.exe脚本信息泄露攻击"	10212	d:10231	NONE
"Web应用脚本.cmd程序执行操作"	10213	d:10232	r:10232
"Microsoft NTFS ::$DATA获取ASP源码攻击"	10214	d:10233	r:10233
"Web应用脚本getdrvs.exe程序执行操作"	10215	d:10234	r:10234
"Microsoft IIS 4.0 srch.htm文件扫描探测攻击"	10216	d:10235	r:10235
"Microsoft IIS .htr文件名截断源代码泄露攻击"	10217	d:10236	r:10236
"Cisco IOS Web配置接口绕过安全认证攻击"	10218	d:10237	NONE
"Frontpage fpadmcgi.exe文件扫描探测变种攻击1"	10219	d:10238	r:10238
"Frontpage fpremadm.exe文件扫描探测变种攻击2"	10220	d:10239	NONE
"Frontpage fpsrvadm.exe文件扫描探测攻击"	10221	d:10240	NONE
"Frontpage fpadmin.htm文件扫描探测攻击"	10222	d:10241	NONE
"Web .bat脚本远程执行攻击"	10223	d:10242	r:10242
"Action.php脚本远程注入攻击"	10224	d:10243	NONE
"Netscape Enterprise Server Web Publisher拒绝服务变种攻击1"	10225	d:10244	NONE
"Netscape Enterprise Server Web Publisher拒绝服务变种攻击2"	10226	d:10245	NONE
"Netscape Enterprise Server Web Publisher拒绝服务变种攻击3"	10227	d:10246	NONE
"Netscape Enterprise Server Web Publisher拒绝服务变种攻击4"	10228	d:10247	NONE
"Netscape Enterprise Server Web Publisher拒绝服务变种攻击5"	10229	d:10248	NONE
"Netscape Enterprise Server Web Publisher拒绝服务变种攻击6"	10230	d:10249	NONE
"Netscape Enterprise Server Web Publisher拒绝服务变种攻击7"	10231	d:10250	NONE
"Netscape Enterprise Server Web Publisher拒绝服务变种攻击8"	10232	d:10251	NONE
"Netscape Enterprise Server Web Publisher拒绝服务变种攻击9"	10233	d:10252	NONE
"Netscape Enterprise Server Web Publisher拒绝服务攻击"	10234	d:10253	NONE
"Web应用管理目录越权攻击"	10235	d:10254	r:10254
"Windows NT IIS MSDAC RDS远程指令执行攻击"	10236	d:10255	r:10255
"Microsoft Windows Index Server 远程ASP源码泄露攻击"	10237	d:10256	r:10256
"XML-Rpc for PHP远程代码注入攻击"	10238	d:10257	r:10257
"RaXnet Cacti远程文件包含攻击"	10239	d:10258	NONE
"Microsoft Windows Index Server 远程目录遍历攻击"	10240	d:10259	r:10259
"Microsoft IIS 5.0 codebrws.asp目录遍历攻击"	10241	d:10260	r:10260
"Microsoft IIS 5.0 +.htr源代码泄露攻击"	10242	d:10261	r:10261
"Matrix lastlines.cgi脚本扫描攻击"	10243	d:10262	NONE
"Richard Lawrence faqmanager.cgi脚本遍历目录攻击"	10244	d:10263	NONE
"Richard Lawrence faqmanager.cgi脚本读取文件攻击"	10245	d:10264	NONE
"Wwwboard.pl脚本扫描攻击"	10246	d:10265	NONE
"ROADS search.pl 文件遍历攻击"	10247	d:10266	NONE
"Search.pl脚本扫描探测攻击"	10248	d:10267	r:10267
"Artisoft XtraMail远程拒绝服务攻击"	10249	d:10268	NONE
"Sambar Web服务器远程拒绝服务攻击"	10250	d:10269	r:10269
"AIX FTP Server远程缓冲区溢出攻击"	10251	d:10270	NONE
"SSH1 crc32漏洞检测攻击"	10252	d:10272	NONE
"SSH1 crc32漏洞检测变种攻击1"	10253	d:10273	NONE
"Solaris Rpc.cachefsd远程堆溢出变种攻击1"	10254	d:10274	r:10274
"Solaris Rpc.cachefsd远程堆溢出攻击"	10255	d:10275	r:10275
"BIND Iquery远程缓冲区溢出攻击"	10256	d:10276	NONE
"Solaris CDE dtspcd远程缓冲区溢出攻击"	10257	d:10277	NONE
"Microsoft IIS.ida ISAPI扩展远程缓冲区溢出攻击"	10258	d:10278	r:10278
"Microsoft IIS.idq ISAPI扩展远程缓冲区溢出攻击"	10259	d:10279	r:10279
"Solaris Rpc.snmpXdmid远程缓冲区溢出变种攻击1"	10260	d:10280	r:10280
"Solaris Rpc.snmpXdmid远程缓冲区溢出攻击"	10261	d:10281	r:10281
"Microsoft FrontPage 2000 fp30reg.dll缓冲区溢出攻击"	10262	d:10282	r:10282
"Solaris Rpc.sadmind远程缓冲区溢出变种攻击1"	10263	d:10283	r:10283
"Solaris Rpc.sadmind远程缓冲区溢出攻击"	10264	d:10284	r:10284
"Solaris Rpc.yppasswdd远程缓冲区溢出变种攻击1"	10265	d:10286	r:10286
"Solaris Rpc.yppasswdd远程缓冲区溢出变种攻击2"	10266	d:10287	r:10287
"Solaris Rpc.yppasswdd远程缓冲区溢出变种攻击3"	10267	d:10288	r:10288
"Solaris Rpc.yppasswdd远程缓冲区溢出变种攻击4"	10268	d:10289	r:10289
"Solaris Rpc.yppasswdd远程缓冲区溢出变种攻击5"	10269	d:10290	r:10290
"Solaris Rpc.yppasswdd远程缓冲区溢出攻击"	10270	d:10291	r:10291
"Linux Rpc.statd远程格式串UDP溢出变种攻击1"	10271	d:10292	NONE
"Linux Rpc.statd远程格式串UDP溢出变种攻击2"	10272	d:10293	NONE
"Linux Rpc.statd远程格式串TCP溢出变种攻击1"	10273	d:10294	NONE
"Linux Rpc.statd远程格式串TCP溢出攻击"	10274	d:10295	NONE
"Solaris Rpc.cmsd远程缓冲区溢出变种攻击1"	10275	d:10296	NONE
"Solaris Rpc.cmsd远程缓冲区溢出变种攻击2"	10276	d:10297	NONE
"Solaris Rpc.cmsd远程缓冲区溢出变种攻击3"	10277	d:10298	NONE
"Solaris Rpc.cmsd远程缓冲区溢出攻击"	10278	d:10299	NONE
"Linux LPRng远程格式化串溢出变种攻击1"	10279	d:10300	r:10300
"Linux LPRng远程格式化串溢出攻击"	10280	d:10301	r:10301
"ISC Bind 8 TSIG远程缓冲区溢出变种攻击1"	10281	d:10302	r:10302
"ISC Bind 8 TSIG远程缓冲区溢出攻击"	10282	d:10303	r:10303
"BSD telnetd远程堆溢出攻击探测"	10283	d:10304	r:10304
"IRIX telnetd远程格式化串溢出攻击"	10284	d:10305	NONE
"OpenSSH SKEY/BSD_AUTH验证远程缓冲区溢出变种攻击1"	10285	d:10306	NONE
"OpenSSH SKEY/BSD_AUTH验证远程缓冲区溢出变种攻击2"	10286	d:10307	NONE
"OpenSSH SKEY/BSD_AUTH验证远程缓冲区溢出攻击"	10287	d:10308	NONE
"Wu-imapd Mailbox属性远程缓冲区溢出变种攻击1"	10288	d:10309	NONE
"Wu-imapd Mailbox属性远程缓冲区溢出攻击"	10289	d:10310	NONE
"AIX pdnsd远程缓冲区溢出攻击"	10290	d:10311	NONE
"WS_FTP Server CPWD远程缓冲区溢出攻击"	10291	d:10312	NONE
"Microsoft SQL Server RAISERROR缓冲区溢出变种攻击1"	10292	d:10313	NONE
"Microsoft SQL Server RAISERROR缓冲区溢出攻击"	10293	d:10314	NONE
"Qualcomm qpopper AUTH命令远程缓冲区溢出攻击"	10294	d:10315	NONE
"VanDyke SecureCRT SSH1协议处理远程缓冲区溢出攻击"	10295	d:10316	NONE
"Sendmail 8.12邮件头处理远程缓冲区溢出变种攻击1"	10296	d:10317	r:10317
"Sendmail 8.12邮件头处理远程缓冲区溢出变种攻击2"	10297	d:10318	r:10318
"Sendmail 8.12邮件头处理远程缓冲区溢出变种攻击3"	10298	d:10319	r:10319
"BIND iquery远程缓冲区溢出攻击"	10299	d:10322	NONE
"SSH守护程序缓冲区溢出攻击"	10300	d:10323	NONE
"Samba call_trans2open远程缓冲区溢出变种攻击1"	10301	d:10324	r:10324
"Samba call_trans2open远程缓冲区溢出变种攻击3"	10302	d:10325	r:10326
"Samba call_trans2open远程缓冲区溢出变种攻击3"	10303	d:10326	r:10326
"Samba call_trans2open远程缓冲区溢出变种攻击4"	10304	d:10327	NONE
"Samba call_trans2open远程缓冲区溢出变种攻击5"	10305	d:10328	r:10328
"Samba call_trans2open远程缓冲区溢出变种攻击6"	10306	d:10329	r:10329
"Samba call_trans2open远程缓冲区溢出变种攻击9"	10307	d:10330	r:10332
"Samba call_trans2open远程缓冲区溢出变种攻击10"	10308	d:10331	r:10333
"Samba call_trans2open远程缓冲区溢出变种攻击9"	10309	d:10332	r:10332
"Samba call_trans2open远程缓冲区溢出变种攻击10"	10310	d:10333	r:10333
"Samba call_trans2open远程缓冲区溢出变种攻击11"	10311	d:10334	r:10334
"Samba call_trans2open远程缓冲区溢出攻击"	10312	d:10335	r:10335
"Real Networks Helix Universal Server远程缓冲区溢出攻击"	10313	d:10336	r:10336
"System Login远程缓冲区溢出攻击"	10314	d:10337	NONE
"System Login远程缓冲区溢出变种攻击1"	10315	d:10338	NONE
"Microsoft Windows Messenger服务远程堆溢出变种攻击1"	10316	d:10339	r:10339
"Microsoft Windows Messenger服务远程堆溢出攻击"	10317	d:10340	r:10340
"Windows Media nsiislog.dll远程缓冲区溢出攻击"	10318	d:10341	r:10341
"Serv-U FTPSITE CHMOD命令超长文件名远程溢出攻击"	10319	d:10342	r:10342
"Serv-U FTPMDTM命令远程缓冲区溢出攻击"	10320	d:10343	r:10343
"MDaemon form2raw.cgi CGI脚本漏洞溢出变种攻击1"	10321	d:10344	NONE
"MDaemon form2raw.cgi CGI脚本漏洞溢出攻击"	10322	d:10345	NONE
"Apache Web Server分块编码远程溢出攻击"	10323	d:10346	r:10346
"FTP LIST命令超长参数溢出攻击"	10324	d:10347	NONE
"FTP NLST命令超长参数溢出攻击"	10325	d:10348	NONE
"Apache Web Server分块畸形编码攻击"	10326	d:10349	r:10349
"Microsoft PCT协议远程缓冲区溢出变种攻击2"	10327	d:10351	r:10351
"Microsoft PCT协议远程缓冲区溢出变种攻击4"	10328	d:10353	NONE
"Microsoft PCT协议远程缓冲区溢出攻击"	10329	d:10354	r:10354
"MDaemon SMTP远程缓冲区变种攻击2"	10330	d:10356	r:10356
"Icecast头结构字段远程溢出变种攻击1"	10331	d:10359	NONE
"Icecast头结构字段远程溢出攻击"	10332	d:10360	NONE
"Microsoft NNTP XPAT命令远程远程缓冲区溢出攻击"	10333	d:10361	NONE
"SMTP EXPN超长参数命令溢出攻击"	10334	d:10362	r:10362
"Apache_W32 Web Server分块编码传输方式远程溢出攻击"	10335	d:10363	r:10363
"CA License Client/Server GBR请求缓冲区溢出变种攻击1"	10336	d:10366	NONE
"CA License Client/Server GBR请求缓冲区溢出变种攻击2"	10337	d:10367	NONE
"CA License Client/Server GBR请求缓冲区溢出变种攻击3"	10338	d:10368	NONE
"CA License Client/Server GBR请求缓冲区溢出攻击"	10339	d:10369	NONE
"Microsoft Exchange Server SMTP服务畸形X-LINK2STATE命令远程溢出攻击"	10340	d:10370	r:10370
"Microsoft Outlook Express NNTP LIST命令响应解析溢出攻击"	10341	d:10371	NONE
"Mercury/32 IMAP RENAME命令远程缓冲区溢出攻击"	10342	d:10372	NONE
"CA Unicenter CAM log_security()远程缓冲区溢出攻击"	10343	d:10373	NONE
"RSA SecurID Web Agent for IIS ISAPI远程缓冲区溢出攻击"	10344	d:10374	r:10374
"MailEnable IMAP超长邮箱名W3C日志记录溢出攻击"	10345	d:10375	NONE
"MySQL MaxDB HTTP GET请求远程缓冲区溢出攻击"	10346	d:10378	NONE
"Microsoft IIS w3who ISAPI DLL远程缓冲区溢出攻击"	10347	d:10379	r:10379
"Veritas Backup Exec注册请求远程缓冲区溢出攻击"	10348	d:10380	NONE
"ISS RealSecure/BlackICE协议分析模块ICQ应答处理缓冲区溢出攻击"	10349	d:10381	NONE
"Arkeia Server Backup远程缓冲区溢出攻击"	10350	d:10382	NONE
"AOL Instant Messenger Away Message缓冲区溢出攻击"	10351	d:10383	NONE
"FutureSoft TFTP Server 2000远程缓冲区溢出变种攻击1"	10352	d:10384	NONE
"FutureSoft TFTP Server 2000远程缓冲区溢出攻击"	10353	d:10385	NONE
"Apple Mac OS X AppleFileServer预验证远程缓冲区溢出攻击"	10354	d:10386	NONE
"BadBlue ext.dll mfcisapicommand远程缓冲区溢出攻击"	10355	d:10387	NONE
